train_acc,train_loss,val_acc,val_loss
0.03065263157894737,4.45556,0.04680000000000001,4.2406244
0.048863157894736844,4.16948,0.062400000000000004,4.0614653
0.06023157894736842,4.038159,0.0576,4.1391177
0.07082105263157895,3.9598691,0.08839999999999999,3.8254352
0.08084210526315791,3.8908107,0.0808,3.8873196
0.08993684210526319,3.842524,0.08639999999999999,3.901119
0.09913684210526316,3.7827709,0.10799999999999998,3.662103
0.11063157894736841,3.7245164,0.0964,3.8546865
0.12126315789473686,3.6757214,0.14120000000000002,3.556654
0.13494736842105262,3.6165152,0.1508,3.5244586
0.1421894736842105,3.5668945,0.13440000000000002,3.6723335
0.15486315789473684,3.500896,0.1696,3.393246
0.1634315789473684,3.4469218,0.16519999999999999,3.5167086
0.17134736842105264,3.4037426,0.1368,3.6057544
0.17825263157894738,3.3539214,0.1956,3.241251
0.18658947368421053,3.3045435,0.1752,3.3654974
0.19122105263157893,3.2594144,0.21719999999999998,3.1685326
0.20583157894736845,3.2018826,0.21919999999999998,3.1668944
0.21042105263157895,3.1707764,0.1888,3.2809114
0.22084210526315787,3.1132374,0.242,3.0420666
0.22888421052631577,3.0695086,0.22759999999999997,3.0852387
0.23522105263157897,3.0361993,0.22520000000000004,3.0757182
0.2442526315789474,2.9852993,0.2644,2.9197419
0.25486315789473685,2.9397473,0.20440000000000003,3.2427971
0.2593894736842105,2.908402,0.27480000000000004,2.8382242
0.2666526315789474,2.8583314,0.27480000000000004,2.8773217
0.27393684210526315,2.8388205,0.23920000000000002,2.9811983
0.2839789473684211,2.7941782,0.2904,2.7523968
0.2902736842105263,2.7509925,0.25720000000000004,2.9072516
0.2915368421052632,2.741178,0.2636,2.873128
0.29978947368421055,2.6927898,0.3072,2.6355572
0.3097052631578947,2.6642954,0.27960000000000007,2.8184464
0.3119157894736842,2.6448483,0.3176,2.6020224
0.32035789473684206,2.6059668,0.316,2.622196
0.32021052631578945,2.5898085,0.252,3.0486498
0.3285263157894737,2.5686796,0.3308,2.5458968
0.33677894736842107,2.5271664,0.316,2.6298938
0.33629473684210526,2.5311286,0.3212,2.6221194
0.34458947368421056,2.4843373,0.34080000000000005,2.4834254
0.35126315789473683,2.4653704,0.2916,2.7722847
0.3532631578947368,2.4490383,0.33399999999999996,2.4961436
0.3601473684210526,2.4098766,0.34159999999999996,2.4728453
0.36145263157894736,2.415167,0.3224,2.6263242
0.36920000000000003,2.3781712,0.3696,2.3410597
0.3728631578947369,2.358357,0.33399999999999996,2.5598648
0.37315789473684213,2.360157,0.34800000000000003,2.462557
0.38376842105263165,2.3121655,0.3868,2.3234534
0.3802315789473685,2.3139694,0.3296,2.6476579
0.3844421052631579,2.2985647,0.3732,2.3523486
0.3919368421052632,2.267927,0.37239999999999995,2.336523
0.3919157894736843,2.2648387,0.3356,2.4880848
0.3995157894736842,2.233241,0.38280000000000003,2.270269
0.3992210526315789,2.2359474,0.3644,2.37584
0.3994105263157895,2.2230294,0.364,2.3541322
0.4069263157894737,2.187253,0.39120000000000005,2.2220695
0.41101052631578944,2.1842449,0.3484,2.4712756
0.41397894736842106,2.1771288,0.3948,2.2339327
0.4169263157894737,2.1487422,0.3896,2.2155387
0.4189263157894737,2.1517131,0.36599999999999994,2.351799
0.42296842105263155,2.1297796,0.398,2.1944687
0.4291368421052632,2.1077724,0.39599999999999996,2.2637029
0.42465263157894734,2.117376,0.3824,2.2647488
0.4338947368421053,2.0831566,0.4152,2.154585
0.4377894736842105,2.072644,0.36,2.4554682
0.43475789473684207,2.0758102,0.4128,2.1894314
0.4403789473684211,2.048247,0.41359999999999997,2.1357787
0.43896842105263156,2.0511718,0.386,2.2974195
0.44290526315789475,2.0358446,0.41839999999999994,2.127847
0.4466526315789474,2.016301,0.40679999999999994,2.2194588
0.4502105263157895,2.017887,0.38520000000000004,2.248714
0.45467368421052634,1.9967968,0.4216,2.08744
0.45829473684210525,1.9892908,0.37720000000000004,2.3897908
0.45522105263157897,1.9937063,0.42599999999999993,2.1270127
0.4628421052631579,1.9579792,0.41240000000000004,2.1384823
0.4612842105263158,1.9647366,0.39039999999999997,2.303481
0.46336842105263165,1.9511418,0.4367999999999999,2.0585272
0.4667368421052631,1.9392107,0.41240000000000004,2.139452
0.46816842105263157,1.9383007,0.40639999999999993,2.2371197
0.4771578947368421,1.9081584,0.442,2.0447881
0.4733894736842106,1.9052752,0.38439999999999996,2.346019
0.4723578947368421,1.9196475,0.4304,2.1099389
0.4788,1.8929335,0.4376,2.0420158
0.4802947368421053,1.8907424,0.38720000000000004,2.3442526
0.4799368421052632,1.8807216,0.44480000000000003,2.024803
0.48187368421052634,1.865607,0.4288,2.1113029
0.4817894736842105,1.8676351,0.42480000000000007,2.1885383
0.48821052631578954,1.846388,0.4488,2.0009556
0.48770526315789475,1.8391124,0.40399999999999997,2.2384057
0.48901052631578945,1.8362592,0.4488,2.0296068
0.4945473684210527,1.820775,0.4336,2.1023989
0.48983157894736845,1.8340247,0.4084,2.2278907
0.49366315789473686,1.8165364,0.4484,2.0116837
0.4996631578947368,1.8000689,0.4292,2.109757
0.49722105263157895,1.8060904,0.4304,2.097595
0.5029473684210527,1.7866437,0.4656,1.9931133
0.5041894736842105,1.7833152,0.42760000000000004,2.1671069
0.502,1.7843281,0.4396,2.0366828
0.5097263157894737,1.7616161,0.45080000000000003,1.9968972
0.5052000000000001,1.7668236,0.4176,2.285009
0.5093052631578948,1.7616974,0.45640000000000003,1.9958056
